,Accommodation_Capacity,Unit of measurement,Economic activity,Region,Year,Value
1532,Bedplaces,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,0.85
1533,Bedplaces,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,0.19
1534,Bedplaces,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,-2.46
1566,Bedrooms,Number,Hotels and similar accommodation,Piemonte,2021,39211.0
1567,Bedrooms,Number,Hotels and similar accommodation,Piemonte,2022,39205.0
1568,Bedrooms,Number,Hotels and similar accommodation,Piemonte,2023,39575.0
1571,Bedrooms,Number,Hotels and similar accommodation,Valle d'Aosta,2021,10732.0
1572,Bedrooms,Number,Hotels and similar accommodation,Valle d'Aosta,2022,10796.0
1573,Bedrooms,Number,Hotels and similar accommodation,Valle d'Aosta,2023,10586.0
1576,Bedrooms,Number,Hotels and similar accommodation,Liguria,2021,32388.0
1577,Bedrooms,Number,Hotels and similar accommodation,Liguria,2022,31812.0
1578,Bedrooms,Number,Hotels and similar accommodation,Liguria,2023,31534.0
1581,Bedrooms,Number,Hotels and similar accommodation,Lombardia,2021,102237.0
1582,Bedrooms,Number,Hotels and similar accommodation,Lombardia,2022,102612.0
1583,Bedrooms,Number,Hotels and similar accommodation,Lombardia,2023,101031.0
1591,Bedrooms,Number,Hotels and similar accommodation,Abruzzo,2021,24827.0
1592,Bedrooms,Number,Hotels and similar accommodation,Abruzzo,2022,24874.0
1593,Bedrooms,Number,Hotels and similar accommodation,Abruzzo,2023,24828.0
1596,Bedrooms,Number,Hotels and similar accommodation,Molise,2021,2484.0
1597,Bedrooms,Number,Hotels and similar accommodation,Molise,2022,2416.0
1598,Bedrooms,Number,Hotels and similar accommodation,Molise,2023,2416.0
1601,Bedrooms,Number,Hotels and similar accommodation,Campania,2021,58802.0
1602,Bedrooms,Number,Hotels and similar accommodation,Campania,2022,59121.0
1603,Bedrooms,Number,Hotels and similar accommodation,Campania,2023,59109.0
1606,Bedrooms,Number,Hotels and similar accommodation,Puglia,2021,45136.0
1607,Bedrooms,Number,Hotels and similar accommodation,Puglia,2022,45346.0
1608,Bedrooms,Number,Hotels and similar accommodation,Puglia,2023,46136.0
1611,Bedrooms,Number,Hotels and similar accommodation,Basilicata,2021,8417.0
1612,Bedrooms,Number,Hotels and similar accommodation,Basilicata,2022,8665.0
1613,Bedrooms,Number,Hotels and similar accommodation,Basilicata,2023,8770.0
1616,Bedrooms,Number,Hotels and similar accommodation,Calabria,2021,43624.0
1617,Bedrooms,Number,Hotels and similar accommodation,Calabria,2022,43714.0
1618,Bedrooms,Number,Hotels and similar accommodation,Calabria,2023,41431.0
1626,Bedrooms,Number,Hotels and similar accommodation,Sicilia,2021,53905.0
1627,Bedrooms,Number,Hotels and similar accommodation,Sicilia,2022,53660.0
1628,Bedrooms,Number,Hotels and similar accommodation,Sicilia,2023,54043.0
1631,Bedrooms,Number,Hotels and similar accommodation,Sardegna,2021,46814.0
1632,Bedrooms,Number,Hotels and similar accommodation,Sardegna,2022,47086.0
1633,Bedrooms,Number,Hotels and similar accommodation,Sardegna,2023,47165.0
1641,Bedrooms,Number,Hotels and similar accommodation,Trentino-Alto Adige,2021,73765.0
1642,Bedrooms,Number,Hotels and similar accommodation,Trentino-Alto Adige,2022,74213.0
1643,Bedrooms,Number,Hotels and similar accommodation,Trentino-Alto Adige,2023,75720.0
1646,Bedrooms,Number,Hotels and similar accommodation,Trentino-Alto Adige,2021,46058.0
1647,Bedrooms,Number,Hotels and similar accommodation,Trentino-Alto Adige,2022,45968.0
1648,Bedrooms,Number,Hotels and similar accommodation,Trentino-Alto Adige,2023,46015.0
1651,Bedrooms,Number,Hotels and similar accommodation,Veneto,2021,106501.0
1652,Bedrooms,Number,Hotels and similar accommodation,Veneto,2022,109724.0
1653,Bedrooms,Number,Hotels and similar accommodation,Veneto,2023,108256.0
1656,Bedrooms,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2021,20454.0
1657,Bedrooms,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2022,20421.0
1658,Bedrooms,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2023,20735.0
1661,Bedrooms,Number,Hotels and similar accommodation,Emilia-Romagna,2021,142462.0
1662,Bedrooms,Number,Hotels and similar accommodation,Emilia-Romagna,2022,142135.0
1663,Bedrooms,Number,Hotels and similar accommodation,Emilia-Romagna,2023,141501.0
1671,Bedrooms,Number,Hotels and similar accommodation,Toscana,2021,83398.0
1672,Bedrooms,Number,Hotels and similar accommodation,Toscana,2022,83452.0
1673,Bedrooms,Number,Hotels and similar accommodation,Toscana,2023,83190.0
1676,Bedrooms,Number,Hotels and similar accommodation,Umbria,2021,13796.0
1677,Bedrooms,Number,Hotels and similar accommodation,Umbria,2022,12667.0
1678,Bedrooms,Number,Hotels and similar accommodation,Umbria,2023,12692.0
1681,Bedrooms,Number,Hotels and similar accommodation,Marche,2021,26688.0
1682,Bedrooms,Number,Hotels and similar accommodation,Marche,2022,25428.0
1683,Bedrooms,Number,Hotels and similar accommodation,Marche,2023,24822.0
1686,Bedrooms,Number,Hotels and similar accommodation,Lazio,2021,91893.0
1687,Bedrooms,Number,Hotels and similar accommodation,Lazio,2022,91861.0
1688,Bedrooms,Number,Hotels and similar accommodation,Lazio,2023,88767.0
1719,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2021,-0.49
1720,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2022,-0.02
1721,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Piemonte,2023,0.94
1724,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2021,-0.77
1725,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2022,0.6
1726,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Valle d'Aosta,2023,-1.95
1729,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Liguria,2021,-1.53
1730,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Liguria,2022,-1.78
1731,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Liguria,2023,-0.87
1734,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2021,1.71
1735,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2022,0.37
1736,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Lombardia,2023,-1.54
1744,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2021,0.13
1745,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2022,0.19
1746,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Abruzzo,2023,-0.18
1749,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Molise,2021,-1.55
1750,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Molise,2022,-2.74
1751,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Molise,2023,0.0
1754,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Campania,2021,0.66
1755,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Campania,2022,0.54
1756,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Campania,2023,-0.02
1759,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Puglia,2021,0.27
1760,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Puglia,2022,0.47
