,Region,Year,Value,DS,institution_count
308,Umbria,2021,681637.0,d2,271
309,Umbria,2021,1672479.0,d4,271
310,Umbria,2021,8896122.0,d5,271
311,Umbria,2021,97928561.0,d3,271
312,Umbria,2022,39.1,d6,271
313,Umbria,2022,11681.0,d1,271
314,Umbria,2022,1079403.0,d2,271
315,Umbria,2022,2260960.0,d4,271
316,Umbria,2022,11919968.0,d5,271
317,Umbria,2022,131535104.0,d3,271
318,Umbria,2023,42.8,d6,271
319,Umbria,2023,11912.0,d1,271
320,Umbria,2023,1229087.0,d2,271
321,Umbria,2023,2534008.0,d4,271
322,Umbria,2023,12857896.0,d5,271
323,Umbria,2023,143407296.0,d3,271
324,Valle d'Aosta,2021,32.3,d6,68
325,Valle d'Aosta,2021,7389.0,d1,68
326,Valle d'Aosta,2021,413185.0,d2,68
327,Valle d'Aosta,2021,697247.0,d4,68
328,Valle d'Aosta,2021,1893178.0,d5,68
329,Valle d'Aosta,2021,20723400.0,d3,68
330,Valle d'Aosta,2022,43.099999999999994,d6,68
331,Valle d'Aosta,2022,7397.0,d1,68
332,Valle d'Aosta,2022,831941.0,d2,68
333,Valle d'Aosta,2022,1194429.0,d4,68
334,Valle d'Aosta,2022,3327231.0,d5,68
335,Valle d'Aosta,2022,36173280.0,d3,68
336,Valle d'Aosta,2023,48.05,d6,68
337,Valle d'Aosta,2023,7129.0,d1,68
338,Valle d'Aosta,2023,972311.0,d2,68
339,Valle d'Aosta,2023,1338919.0,d4,68
340,Valle d'Aosta,2023,3692878.0,d5,68
341,Valle d'Aosta,2023,40254376.0,d3,68
342,Veneto,2021,43.599999999999994,d6,255
343,Veneto,2021,103315.0,d1,255
344,Veneto,2021,4027252.0,d2,255
345,Veneto,2021,11853659.0,d4,255
346,Veneto,2021,101275708.0,d5,255
347,Veneto,2021,999850207.0,d3,255
348,Veneto,2022,54.7,d6,255
349,Veneto,2022,103518.0,d1,255
350,Veneto,2022,7944549.0,d2,255
351,Veneto,2022,18141393.0,d4,255
352,Veneto,2022,131841044.0,d5,255
353,Veneto,2022,1344990640.0,d3,255
354,Veneto,2023,57.1,d6,255
355,Veneto,2023,107685.0,d1,255
356,Veneto,2023,9630726.0,d2,255
357,Veneto,2023,21059179.0,d4,255
358,Veneto,2023,143793726.0,d5,255
359,Veneto,2023,1487296672.0,d3,255
